Sentença;Pena_base(dias);Pena_base(meses);Pena_base(anos);Pena_definitiva(dias);Pena_definitiva(meses);Pena_definitiva(anos)
0000156-88.2017.8.26.0358;850;28.33;2.33;1415;47.17;3.88
0000801-94.2016.8.26.0311;365;12.17;1.0;365;12.17;1.0
0001238-74.2016.8.26.0493;425;14.17;1.16;565;18.83;1.55
0001610-74.2017.8.26.0594;850;28.33;2.33;565;18.83;1.55
0003620-96.2016.8.26.0248;730;24.33;2.0;850;28.33;2.33
0023067-43.2020.8.26.0050;730;24.33;2.0;365;12.17;1.0
1500007-36.2022.8.26.0263;425;14.17;1.16;280;9.33;0.77
1500027-33.2022.8.26.0358;545;18.17;1.49;635;21.17;1.74
1500052-08.2021.8.26.0382;425;14.17;1.16;576;19.2;1.58
1500065-21.2022.8.26.0560;425;14.17;1.16;326;10.87;0.89
1500073-10.2021.8.26.0341;500;16.67;1.37;1000;33.33;2.74
1500091-68.2020.8.26.0534;485;16.17;1.33;485;16.17;1.33
1500126-72.2022.8.26.0626;850;28.33;2.33;850;28.33;2.33
1500134-32.2022.8.26.0567;850;28.33;2.33;1105;36.83;3.03
1500134-32.2022.8.26.0567;850;28.33;2.33;730;24.33;2.0
1500151-38.2020.8.26.0050;365;12.17;1.0;240;8.0;0.66
1500159-69.2020.8.26.0032;850;28.33;2.33;1215;40.5;3.33
1500190-32.2022.8.26.0481;485;16.17;1.33;485;16.17;1.33
1500234-64.2022.8.26.0024;730;24.33;2.0;850;28.33;2.33
1500249-36.2018.8.26.0424;485;16.17;1.33;240;8.0;0.66
1500301-63.2022.8.26.0530;850;28.33;2.33;1105;36.83;3.03
1500316-47.2022.8.26.0137;970;32.33;2.66;1215;40.5;3.33
1500349-09.2022.8.26.0599;730;24.33;2.0;970;32.33;2.66
1500374-29.2022.8.26.0144;365;12.17;1.0;485;16.17;1.33
1500390-82.2020.8.26.0651;850;28.33;2.33;1105;36.83;3.03
1500411-64.2022.8.26.0594;545;18.17;1.49;375;12.5;1.03
1500438-58.2022.8.26.0558;365;12.17;1.0;365;12.17;1.0
1500474-45.2021.8.26.0620;1000;33.33;2.74;835;27.83;2.29
1500474-45.2021.8.26.0620;500;16.67;1.37;582;19.4;1.59
1500482-67.2021.8.26.0120;365;12.17;1.0;485;16.17;1.33
1500483-02.2021.8.26.0072;365;12.17;1.0;455;15.17;1.25
1500493-50.2022.8.26.0415;730;24.33;2.0;730;24.33;2.0
1500519-12.2022.8.26.0621;850;28.33;2.33;658;21.93;1.8
1500565-56.2020.8.26.0011;730;24.33;2.0;730;24.33;2.0
1500598-25.2022.8.26.0545;425;14.17;1.16;425;14.17;1.16
1500651-79.2020.8.26.0123;745;24.83;2.04;745;24.83;2.04
1500664-93.2022.8.26.0548;365;12.17;1.0;425;14.17;1.16
1500666-72.2022.8.26.0545;455;15.17;1.25;567;18.9;1.55
1500691-68.2022.8.26.0583;1000;33.33;2.74;425;14.17;1.16
1500691-68.2022.8.26.0583;1000;33.33;2.74;425;14.17;1.16
1500711-59.2022.8.26.0583;635;21.17;1.74;635;21.17;1.74
1500727-03.2022.8.26.0360;437;14.57;1.2;240;8.0;0.66
1500727-57.2022.8.26.0536;365;12.17;1.0;365;12.17;1.0
1500738-78.2022.8.26.0571;365;12.17;1.0;485;16.17;1.33
1500753-90.2020.8.26.0062;425;14.17;1.16;425;14.17;1.16
1500785-53.2022.8.26.0603;455;15.17;1.25;180;6.0;0.49
1500809-96.2021.8.26.0383;730;24.33;2.0;810;27.0;2.22
1500828-59.2019.8.26.0032;425;14.17;1.16;291;9.7;0.8
1500853-78.2021.8.26.0072;425;14.17;1.16;425;14.17;1.16
1500864-57.2020.8.26.0294;365;12.17;1.0;365;12.17;1.0
1500895-02.2018.8.26.0568;365;12.17;1.0;425;14.17;1.16
1500897-09.2020.8.26.0242;730;24.33;2.0;635;21.17;1.74
1500897-09.2020.8.26.0242;850;28.33;2.33;885;29.5;2.42
1500897-09.2020.8.26.0242;730;24.33;2.0;863;28.77;2.36
1500931-69.2019.8.26.0322;455;15.17;1.25;605;20.17;1.66
1500931-73.2021.8.26.0201;500;16.67;1.37;582;19.4;1.59
1500947-43.2022.8.26.0540;730;24.33;2.0;730;24.33;2.0
1500973-04.2022.8.26.0617;365;12.17;1.0;425;14.17;1.16
1501093-27.2022.8.26.0559;485;16.17;1.33;365;12.17;1.0
1501109-62.2020.8.26.0587;850;28.33;2.33;970;32.33;2.66
1501187-15.2020.8.26.0536;545;18.17;1.49;365;12.17;1.0
1501233-87.2021.8.26.0594;850;28.33;2.33;990;33.0;2.71
1501238-37.2021.8.26.0618;425;14.17;1.16;140;4.67;0.38
1501268-71.2019.8.26.0544;365;12.17;1.0;365;12.17;1.0
1501307-42.2020.8.26.0024;635;21.17;1.74;730;24.33;2.0
1501311-66.2021.8.26.0599;425;14.17;1.16;425;14.17;1.16
1501333-21.2022.8.26.0040;730;24.33;2.0;850;28.33;2.33
1501379-70.2019.8.26.0539;850;28.33;2.33;850;28.33;2.33
1501401-02.2022.8.26.0062;425;14.17;1.16;425;14.17;1.16
1501405-07.2022.8.26.0396;425;14.17;1.16;485;16.17;1.33
1501456-71.2022.8.26.0540;425;14.17;1.16;705;23.5;1.93
